,20151207,20160121,20160215,20160220,20160221,20160229,20160409,20160505,20160602,20160617,20160628,20160807,20160923,20160930,20161007,20161211,20161219,20170110,20170201,20170223,20170225,20170324,20170404,20170503,20170524,20170527,20170528,20170530,20170531,20170602,20170607,20170613,20170614,20170620,20170627,20170702,20170704,20170729,20170802,20170806,20170823,20170830,20170902,20170903,20170905,20170910,20170912,20170916,20170918,20170919,20170926,20170928,20170930,20171002,20171003,20171004,20171005,20171010,20171011,20171017,20171018,20171025,20171026,20171027,20171028,20171029,20171030,20171031,20171101,20171102,20171103,20171106,20171107,20171112,20171115,20171116,20171117,20171119,20171121,20171123,20171124,20171128,20171129,20171130,20171202,20171205,20171209,20171210,20171212,20171216,20171218,20171219,20171220,20171221,20171222,20171223,20171224,20171227,20180102,20180107,20180116,20180119,20180121,20180123,20180124,20180206,20180208,20180213,20180222,20180227,20180302,20180304,20180306,20180309,20180310,20180311,20180318,20180325,20180327,20180329,20180401,20180402,20180403,20180405,20180406,20180407,20180408,20180409,20180410,20180411,20180412,20180413,20180414,20180415,20180416,20180417,20180418,20180419,20180420,20180421,20180422,20180423,20180424,20180426,20180427,20180428,20180429,20180430,20180501,20180502,20180503,20180504,20180505,20180506,20180507,20180508,20180509,20180510,20180512,20180513,20180514,20180515,20180516,20180517,20180518,20180520,20180522,20180525,20180527,20180529,20180601,20180602,20180604,20180605,20180607,20180608,20180611,20180612,20180614,20180616,20180617,20180618,20180621,20180622,20180623,20180624,20180625,20180628,20180629,20180630,20180701,20180702,20180703,20180704,20180705,20180707,20180708,20180709,20180710
exchange,101,101,9,9,9,0,13,13,33,45,25,25,45,51,37,23,33,73,59,21,21,75,60,59,59,69,79,115,125,73,83,100,106,73,125,85,85,99,211,71,185,183,66,66,108,70,31,208,208,131,97,97,112,112,82,82,82,28,165,124,124,43,43,43,43,43,71,71,71,71,71,57,33,61,56,56,54,99,58,52,52,91,50,75,156,45,138,111,27,61,99,112,89,138,147,115,98,103,158,177,122,151,215,215,230,85,118,122,80,112,121,167,76,104,114,72,67,138,60,131,175,106,106,198,121,85,131,146,63,172,249,150,165,146,105,191,157,74,53,99,126,38,25,190,145,140,110,156,233,140,84,14,26,28,64,63,105,63,25,54,92,211,182,71,59,63,63,168,119,119,179,111,140,140,132,160,74,104,121,211,141,188,137,145,107,144,144,150,142,141,100,84,114,93,65,129,178,146,91
latest,10,10,4,4,4,7,4,4,4,4,0,0,4,4,4,4,4,4,14,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,7,15,5,1,5,5,5,5,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,19,4,1,5,5,5,5,5,5,5,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,8,5,1,4,4,4,4,5,8,1,19,15,19,9,9,9,9,9,9,9,23,3,9,9,3,9,23,9,9,9,3,9,9,9,9,9,9,9,9,9,10,10,9,9,9,9,9,9,9,3,9,9,9,3,9,9,9,9,19,9,3,3,8,8,8,4,7,8,8,8,18,8,8,8
time,36,36,0,0,0,9,0,29,10,20,30,30,0,0,0,20,46,10,0,20,20,0,10,10,10,0,0,0,0,10,34,0,0,0,0,0,0,7,35,7,7,21,7,7,53,19,17,21,21,35,7,7,21,21,21,21,21,7,7,7,7,21,21,21,21,21,32,32,32,32,32,32,33,21,35,35,35,21,21,7,7,35,31,60,7,18,58,41,7,7,7,21,46,74,56,19,35,21,7,7,21,21,21,21,21,10,10,0,0,25,14,0,16,11,14,28,14,35,16,28,0,29,29,14,28,25,26,28,25,25,14,0,14,48,8,25,25,18,0,28,14,56,42,0,14,14,28,0,0,0,0,28,0,0,14,28,14,0,58,35,39,39,11,10,14,0,0,0,7,0,59,0,0,0,35,21,0,0,0,28,0,7,28,56,33,18,18,14,0,14,14,0,0,14,14,0,0,14,0
cryptocurrency,18,18,0,0,0,0,0,10,20,19,10,10,34,74,34,20,0,68,42,20,20,16,10,43,43,34,34,100,83,103,20,76,54,60,10,0,0,81,38,56,12,94,73,73,42,76,52,138,138,81,187,187,39,39,35,35,35,63,117,69,69,49,49,49,49,49,43,43,43,43,43,90,168,68,49,49,96,113,42,37,37,90,164,163,100,92,101,70,67,144,143,83,51,127,100,107,71,146,141,133,162,185,246,246,313,157,124,205,120,200,176,100,121,186,189,204,114,118,147,173,165,208,208,274,184,223,187,167,127,127,231,243,208,88,113,110,151,94,114,100,127,94,128,151,179,169,83,137,187,125,167,70,99,87,134,219,180,154,158,80,183,187,201,265,181,105,105,115,166,166,125,84,127,127,116,137,143,133,106,157,163,116,113,120,114,71,71,121,140,122,99,73,35,52,54,53,78,81,78
trading,18,18,9,9,9,0,12,0,0,39,13,13,10,10,19,10,0,30,20,0,0,7,10,0,0,10,30,66,66,46,10,28,7,52,40,0,0,0,66,31,25,62,25,25,22,26,11,49,49,50,28,28,14,14,28,28,28,10,30,51,51,31,31,31,31,31,33,33,33,33,33,11,28,14,35,35,35,0,14,14,14,24,0,0,11,40,7,36,35,28,51,84,39,76,24,28,36,0,57,25,88,36,60,60,78,49,54,24,55,22,25,0,74,14,28,14,53,24,0,14,71,26,26,57,25,52,28,0,0,25,25,42,0,43,26,10,26,68,25,54,38,61,61,78,10,14,14,15,103,80,102,76,48,25,69,40,54,14,71,53,24,17,21,10,55,50,50,64,38,38,62,21,14,14,24,40,12,10,0,54,12,26,10,15,39,46,46,40,36,55,101,22,36,11,10,56,91,111,54
digital,18,18,20,20,20,36,40,12,42,12,0,0,20,0,10,12,22,39,42,44,44,30,30,104,104,47,56,47,47,40,66,20,46,47,10,0,0,28,0,0,42,0,14,14,26,11,0,25,25,25,28,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,42,42,42,42,32,36,0,40,40,10,0,0,36,36,0,38,24,24,79,14,0,14,11,14,28,14,0,0,42,42,25,82,28,42,0,0,0,25,0,14,14,0,25,52,28,0,0,25,26,14,0,0,0,25,0,0,14,0,26,39,35,52,0,14,14,0,28,0,39,0,0,64,53,44,54,38,14,42,0,28,0,14,14,77,35,0,56,28,14,0,0,0,0,0,0,0,0,58,74,74,14,14,14,14,28,104,104,14,0,14,14,11,14,42,14,28,14,28,28,28,10,10,24,10,24,28,0,14,0,56,42,24
currency,28,28,18,18,18,36,30,12,42,32,0,0,10,0,33,12,22,39,52,37,37,57,46,70,70,30,20,20,30,20,66,10,10,27,70,8,8,28,24,0,96,21,75,75,50,0,0,14,14,14,56,56,89,89,46,46,46,0,0,14,14,0,0,0,0,0,68,68,68,68,68,46,50,0,0,0,0,0,0,10,10,28,28,28,52,25,42,25,14,11,14,14,14,14,0,14,0,0,54,0,53,0,14,14,39,11,14,28,0,14,52,14,14,14,11,26,11,25,24,0,14,53,53,25,25,14,0,14,56,0,14,14,0,0,7,25,33,28,14,35,14,42,40,0,14,0,21,7,14,14,35,0,0,14,14,0,0,0,0,7,49,42,0,0,14,14,14,0,0,0,14,0,54,54,14,33,14,14,11,54,25,10,43,55,24,22,22,14,14,0,0,22,0,14,56,25,39,26,47
community,18,18,0,0,0,0,19,17,7,17,17,17,17,37,7,39,29,17,7,23,23,7,17,31,31,31,31,31,31,41,38,41,7,27,7,33,33,7,7,7,31,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,17,7,7,7,17,17,17,17,17,7,7,7,7,7,31,17,17,17,17,17,31,17,45,45,27,17,17,17,17,17,17,45,17,17,17,17,28,41,45,17,17,28,17,31,27,17,17,17,24,10,24,14,0,0,0,0,0,0,0,14,0,39,21,11,0,0,0,28,0,0,15,26,35,11,26,45,11,25,0,14,0,0,14,39,11,22,14,28,0,14,0,0,12,10,0,14,0,14,38,11,10,0,14,0,0,14,0,12,7,7,11,11,11,14,0,0,0,0,14,14,14,0,0,0,14,28,0,0,0,0,0,28,14,14,15,21,41,14,0,0,0,0
many,27,27,0,0,0,0,30,0,0,10,0,0,0,10,10,0,20,30,10,20,20,10,0,6,6,36,36,26,26,46,6,6,10,30,20,20,20,0,0,0,0,0,10,10,0,26,52,0,0,28,0,0,0,0,0,0,0,0,0,0,0,42,42,42,42,42,0,0,0,0,0,24,10,24,10,10,10,52,24,34,34,10,10,24,10,24,38,10,38,20,20,10,48,34,20,38,10,24,38,10,10,38,50,50,20,60,20,40,0,39,0,0,14,10,52,38,0,24,38,0,0,26,26,0,14,0,14,0,0,14,28,0,0,0,0,0,0,0,14,28,0,28,26,0,0,21,0,14,14,0,14,14,0,0,0,28,0,0,0,0,0,0,14,14,0,0,0,0,14,14,24,0,0,0,42,0,0,0,14,14,0,42,14,0,14,0,0,0,0,0,21,14,14,14,14,0,0,0,14
business,18,18,19,19,19,18,0,0,19,0,20,20,10,0,0,7,10,7,27,0,0,10,0,52,52,43,36,6,6,6,16,32,26,0,30,14,14,0,0,0,14,0,10,10,0,28,23,0,0,0,0,0,14,14,0,0,0,11,0,15,15,54,54,54,54,54,14,14,14,14,14,0,14,23,11,11,11,15,24,14,14,0,12,25,14,14,14,28,14,24,24,14,0,54,24,0,0,0,0,14,11,10,0,0,0,24,70,42,0,28,14,14,0,42,42,28,56,0,0,43,14,14,14,42,14,28,0,0,54,110,70,14,57,53,24,14,0,0,0,0,0,0,0,14,14,0,0,0,0,0,0,0,26,12,10,14,28,0,14,0,34,26,24,14,0,0,0,28,14,14,15,39,0,0,10,44,10,0,0,0,0,0,14,77,10,24,24,28,39,25,25,25,11,42,38,22,50,48,63
space,18,18,0,0,0,0,7,7,7,7,26,26,7,17,17,7,17,17,7,7,7,7,7,7,7,7,7,7,7,7,7,17,17,7,7,7,7,9,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,14,24,0,0,0,10,10,10,10,0,0,0,0,14,0,0,14,0,0,0,0,0,0,0,0,15,25,10,28,28,42,0,0,0,0,28,0,28,42,28,28,42,28,28,28,14,42,70,14,42,42,28,42,28,42,28,42,14,0,0,14,42,42,14,7,0,0,28,40,43,82,14,56,14,14,14,28,28,28,28,28,14,28,42,28,42,28,14,42,42,28,14
bitcoins,17,17,18,18,18,18,10,20,90,32,21,21,40,10,0,12,65,63,10,53,53,40,10,26,26,72,84,56,46,32,52,98,102,32,0,16,16,64,25,52,14,28,28,28,54,14,14,14,14,14,14,14,14,14,14,14,14,40,49,24,24,89,89,89,89,89,54,54,54,54,54,15,57,77,43,43,57,29,57,39,39,29,45,59,75,80,59,45,74,79,85,49,47,35,91,135,131,68,35,88,35,35,35,35,35,34,30,54,30,41,20,31,20,31,30,30,32,20,31,20,20,20,20,45,46,31,59,31,45,60,30,34,49,99,108,30,20,20,20,20,20,20,20,20,20,32,49,70,58,31,30,31,46,30,20,20,27,28,61,42,44,20,20,20,20,20,20,20,20,20,20,20,61,61,20,20,34,34,43,30,20,20,20,20,20,20,20,20,20,34,34,34,60,31,30,32,30,20,34
new,9,9,20,20,20,27,48,34,61,42,10,10,70,61,32,97,64,118,10,71,71,30,66,62,62,47,26,62,63,73,28,44,54,10,20,0,0,14,60,50,0,73,46,46,39,116,80,21,21,35,46,46,25,25,93,93,93,45,31,45,45,82,82,82,82,82,129,129,129,129,129,137,96,133,87,87,72,126,90,138,138,158,181,152,110,136,104,110,124,116,106,117,107,129,114,65,62,147,165,98,97,99,133,133,101,139,82,116,11,55,64,58,64,156,105,105,58,74,184,130,75,98,98,100,85,78,56,78,53,25,25,53,25,40,64,64,50,60,35,69,104,98,65,96,58,59,56,80,100,74,36,101,46,49,11,64,67,51,50,40,63,102,72,46,38,50,50,17,14,14,83,118,58,58,159,91,116,66,136,42,76,52,31,53,38,80,80,92,208,89,100,86,51,111,83,113,74,53,143
every,18,18,0,0,0,0,10,0,10,0,0,0,0,10,0,0,20,10,0,0,0,0,0,10,10,10,10,10,10,0,0,0,0,0,0,0,0,11,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,10,10,10,10,10,10,24,24,24,24,24,34,20,34,20,20,20,20,34,30,30,20,20,20,20,20,20,34,34,20,34,20,34,20,34,34,20,20,31,20,34,30,20,20,20,20,20,34,0,0,0,0,14,0,14,0,0,0,24,10,10,10,10,24,10,10,10,10,10,10,10,10,10,10,10,17,10,24,31,10,10,24,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,24,10,10,10,10,10,10,10,10,17,17,10,10,10,10,24,10,17,10,10,10,10,10,20,20,10,10,10,48,10,10,10,10,10,10,10,10,10,10,10
